country,year,population,gdp,co2,co2_growth_abs,co2_growth_prct,co2_per_unit_energy,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,primary_energy_consumption,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_co2
Argentina,1887,3063095,,1.085,,,,,1.085,,,,,,0.1,,,,0.1
Argentina,1888,3160989,,0.89,-0.194,-17.91,,,0.89,,,,,,0.08,,,,0.07
Argentina,1889,3262972,,1.755,0.865,97.12,,,1.755,,,,,,0.15,,,,0.15
Argentina,1890,3369205,13000976384,1.37,-0.385,-21.92,,,1.37,,,,,,0.11,,,,0.11
Argentina,1891,3479859,,0.938,-0.432,-31.55,,,0.938,,,,,,0.07,,,,0.07
Argentina,1892,3595108,,1.385,0.447,47.66,,,1.385,,,,,,0.1,,,,0.1
Argentina,1893,3715134,,1.554,0.169,12.17,,,1.554,,,,,,0.12,,,,0.11
Argentina,1894,3839167,,1.993,0.44,28.3,,,1.993,,,,,,0.15,,,,0.14
Argentina,1895,3967341,,2.264,0.271,13.6,,,2.264,,,,,,0.16,,,,0.15
Argentina,1896,4099794,,2.305,0.04,1.78,,,2.305,,,,,,0.16,,,,0.15
Argentina,1897,4236670,,2.081,-0.224,-9.7,,,2.081,,,,,,0.13,,,,0.13
Argentina,1898,4378115,,2.349,0.267,12.85,,,2.349,,,,,,0.14,,,,0.14
Argentina,1899,4528806,,2.92,0.572,24.34,,,2.92,,,,,,0.16,,,,0.16
Argentina,1900,4689224,21508018176,2.07,-0.85,-29.11,,,2.07,,,,,,0.11,,,,0.11
Argentina,1901,4859874,22371942400,2.492,0.421,20.35,,,2.492,,,,,,0.13,,,,0.12
Argentina,1902,5041283,21914859520,2.814,0.322,12.94,,,2.814,,,,,,0.14,,,,0.14
Argentina,1903,5234002,25056325632,2.862,0.048,1.69,,,2.862,,,,,,0.13,,,,0.13
Argentina,1904,5434089,27744129024,3.796,0.934,32.65,,,3.796,,,,,,0.18,,,,0.17
Argentina,1905,5641825,31406880768,3.983,0.187,4.92,,,3.983,,,,,,0.17,,,,0.16
Argentina,1906,5857502,32980647936,6.254,2.272,57.04,,,6.254,,,,,,0.26,,,,0.25
Argentina,1907,6081424,33673998336,6.254,0,0,,,6.254,,,,,,0.23,,,,0.22
